23639,Longyear 38 Drill Spares,LY38 > Actuator clutch w/l hoist,1,104.90,new
23640,Longyear 38 Drill Spares,LY38 > Wireline sprocket lg.,0,115.15,new
23644,Longyear 38 Drill Spares,LY38 > Clutch disc,1,126.55,new
23648,Longyear 38 Drill Spares,"LY38 > Supt, 44 HST shaft",2,313.15,new
23669,Longyear 38 Drill Spares,LY38 > Wireline brake band,1,0.00,new
23672,Longyear 38 Drill Spares,LY38 > Brakeband wireline,1,0.00,new
23673,Longyear 38 Drill Spares,LY38 > Brakeband liner,0,0.00,new
23863,Longyear 38 Drill Spares,LY38 > Spring,0,3.08,new
23997,Longyear 38 Drill Spares,"LY38 > Shaft, 38 bevel pin",1,640.60,new
24283,Longyear 38 Drill Spares,LY38 > Planetary thrust washer,4,51.60,new
24284,Longyear 38 Drill Spares,LY38 > Planetary,5,358.55,new
24285,Longyear 38 Drill Spares,LY38 > Planetary pin shaft,4,108.00,new
24680,Longyear 38 Drill Spares,"LY38 > Lever ASM, 38 shift",0,264.10,new
25150,Longyear 38 Drill Spares,LY38 > Seal upper,1,114.90,new
25152,Longyear 38 Drill Spares,LY38 > Housing,0,1.50,new
25153,Longyear 38 Drill Spares,LY38 > Ball bearing,2,397.45,new
25156,Longyear 38 Drill Spares,"LY38 > Seal, oil",0,72.35,new
25157,Longyear 38 Drill Spares,LY38 > Cross head BRG CA,0,450.00,new
25160,Longyear 38 Drill Spares,"LY38 > Seal, H hand oil",5,88.55,new
25163,Longyear 38 Drill Spares,LY38 > Seal,3,97.00,new
25164,Longyear 38 Drill Spares,LY38 > Shim set,1,72.75,new
25199,Longyear 38 Drill Spares,LY38 > Key H Dead,1,7.40,new
25371,Longyear 38 Drill Spares,LY38 > Bearing,4,180.15,new
26201,Longyear 38 Drill Spares,LY38 > Knob,1,95.55,new
26202,Longyear 38 Drill Spares,LY38 > Pin,2,57.00,new
26204,Longyear 38 Drill Spares,LY38 > Shifter lever spring ,1,15.75,new
26205,Longyear 38 Drill Spares,LY38 > Shift lever,1,147.35,new
26209,Longyear 38 Drill Spares,LY38 > Spider flange,1,491.90,new
26217,Longyear 38 Drill Spares,LY38 > Shaft  New ,0,"1,077.25",new
26218,Longyear 38 Drill Spares,"LY38 > Shaft, clutch",1,674.00,new
26219,Longyear 38 Drill Spares,"LY38 > Key, clutch shaft",0,12.05,new
26220,Longyear 38 Drill Spares,"LY38 > Key, clutch shaft",0,10.25,new
26222,Longyear 38 Drill Spares,LY38 > Snap ring,6,5.20,new
26223,Longyear 38 Drill Spares,LY38 > Spring,6,6.75,new
26224,Longyear 38 Drill Spares,LY38 > SKF bearing,0,24.55,new
26480,Longyear 38 Drill Spares,"LY38 > Spring, compression",7,4.45,new
26628,Longyear 38 Drill Spares,LY38 > Lock washer,5,7.65,new
28321,Longyear 38 Drill Spares,LY38 > Jaw springs,5,3.60,new
28324,Longyear 38 Drill Spares,LY38 > Clamp cylinder,3,33.55,new
28335,Longyear 38 Drill Spares,"LY38 > Bush, NQ rod",4,206.05,new
28342,Longyear 38 Drill Spares,LY38 > 4 1/2 hood bolts,7,18.70,new
28565,Longyear 38 Drill Spares,LY38 > Clutch lever,0,359.52,new
28567,Longyear 38 Drill Spares,LY38 > Shaft 38 Yoke,0,249.70,new
28577,Longyear 38 Drill Spares,"LY38 > Key, ret",4,33.40,new
28992,Longyear 38 Drill Spares,LY38 > Chuck hood,0,"1,141.10",new
28993,Longyear 38 Drill Spares,LY38 > Quad ring,3,6.70,new
28994,Longyear 38 Drill Spares,LY38 > Quad ring,3,11.00,new
28995,Longyear 38 Drill Spares,LY38 > Quad ring,3,13.60,new
28996,Longyear 38 Drill Spares,LY38 > O-ring,3,5.30,new
28997,Longyear 38 Drill Spares,LY38 > Drive tube adapter,2,295.85,new
29052,Longyear 38 Drill Spares,LY38 > Chuck cover (new)),0,464.80,new
