23639, 1234, Longyar 38, LY38 > Actuator clutch w/l hoist, 1, 104.90, new
23640, 1234, Longyar 38, LY38 > Wireline sprocket lg., 0, 115.15, new
23644, 1234, Longyar 38, LY38 > Clutch disc, 1, 126.55, new
23648, 1234, Longyar 38, LY38 > Supt 44 HST shaft, 2, 313.15, new
23669, 1234, Longyar 38, LY38 > Wireline brake band, 1, 0.00, new
23672, 1234, Longyar 38, LY38 > Brakeband wireline, 1, 0.00, new
23673, 1234, Longyar 38, LY38 > Brakeband liner, 0, 0.00, new
23863, 1234, Longyar 38, LY38 > Spring, 0, 3.08, new
23997, 1234, Longyar 38, LY38 > Shaft 38 bevel pin, 1, 640.60, new
24283, 1234, Longyar 38, LY38 > Planetary thrust washer, 4, 51.60, new
24284, 1234, Longyar 38, LY38 > Planetary, 5, 358.55, new
24285, 1234, Longyar 38, LY38 > Planetary pin shaft, 4, 108.00, new
24680, 1234, Longyar 38, LY38 > Lever ASM 38 shift, 0, 264.10, new
25150, 1234, Longyar 38, LY38 > Seal upper, 1, 114.90, new
25152, 1234, Longyar 38, LY38 > Housing, 0, 1.50, new
25153, 1234, Longyar 38, LY38 > Ball bearing, 2, 397.45, new
25156, 1234, Longyar 38, LY38 > Seal oil, 0, 72.35, new
25157, 1234, Longyar 38, LY38 > Cross head BRG CA, 0, 450.00, new
25160, 1234, Longyar 38, LY38 > Seal H hand oil, 5, 88.55, new
25163, 1234, Longyar 38, LY38 > Seal, 3, 97.00, new
25164, 1234, Longyar 38, LY38 > Shim set, 1, 72.75, new
25199, 1234, Longyar 38, LY38 > Key H Dead, 1, 7.40, new
25371, 1234, Longyar 38, LY38 > Bearing, 4, 180.15, new
26201, 1234, Longyar 38, LY38 > Knob, 1, 95.55, new
26202, 1234, Longyar 38, LY38 > Pin, 2, 57.00, new
26204, 1234, Longyar 38, LY38 > Shifter lever spring , 1, 15.75, new
26205, 1234, Longyar 38, LY38 > Shift lever, 1, 147.35, new
26209, 1234, Longyar 38, LY38 > Spider flange, 1, 491.90, new
26217, 1234, Longyar 38, LY38 > Shaft  New , 0, 1077.25, new
26218, 1234, Longyar 38, LY38 > Shaft clutch, 1, 674.00, new
26219, 1234, Longyar 38, LY38 > Key clutch shaft, 0, 12.05, new
26220, 1234, Longyar 38, LY38 > Key clutch shaft, 0, 10.25, new
26222, 1234, Longyar 38, LY38 > Snap ring, 6, 5.20, new
26223, 1234, Longyar 38, LY38 > Spring, 6, 6.75, new
26224, 1234, Longyar 38, LY38 > SKF bearing, 0, 24.55, new
26480, 1234, Longyar 38, LY38 > Spring compression, 7, 4.45, new
26628, 1234, Longyar 38, LY38 > Lock washer, 5, 7.65, new
28321, 1234, Longyar 38, LY38 > Jaw springs, 5, 3.60, new
28324, 1234, Longyar 38, LY38 > Clamp cylinder, 3, 33.55, new
28335, 1234, Longyar 38, LY38 > Bush NQ rod, 4, 206.05, new
28342, 1234, Longyar 38, LY38 > 4 1/2 hood bolts, 7, 18.70, new
28565, 1234, Longyar 38, LY38 > Clutch lever, 0, 359.52, new
28567, 1234, Longyar 38, LY38 > Shaft 38 Yoke, 0, 249.70, new
28577, 1234, Longyar 38, LY38 > Key ret, 4, 33.40, new
28992, 1234, Longyar 38, LY38 > Chuck hood, 0, 1141.10, new
28993, 1234, Longyar 38, LY38 > Quad ring, 3, 6.70, new
28994, 1234, Longyar 38, LY38 > Quad ring, 3, 11.00, new
28995, 1234, Longyar 38, LY38 > Quad ring, 3, 13.60, new
28996, 1234, Longyar 38, LY38 > O-ring, 3, 5.30, new
28997, 1234, Longyar 38, LY38 > Drive tube adapter, 2, 295.85, new
29052, 1234, Longyar 38, LY38 > Chuck cover (new)), 0, 464.80, new
29052, 1234, Longyar 38, LY38 > Chuck cover (used), 0, 464.80, used
29807, 1234, Longyar 38, LY38 > Chuck assembly (used), 0, 1902.75, used
29807, 1234, Longyar 38, LY38 > Chuck assembly (new), 0, 1902.75, new
30086, 1234, Longyar 38, LY38 > Bushing front, 1, 28.65, new
30087, 1234, Longyar 38, LY38 > Bushing rear, 1, 56.85, new
30088, 1234, Longyar 38, LY38 > O-ring, 6, 2.45, new
30191, 1234, Longyar 38, LY38 > Snap ring, 7, 6.40, new
35297, 1234, Longyar 38, LY38 > Snap ring, 5, 6.95, new
35522, 1234, Longyar 38, LY38 > Pinion gear, 2, 518.60, new
35833, 1234, Longyar 38, LY38 > Spacer, 3, 32.20, new
35850, 1234, Longyar 38, LY38 > Tension Rod, 1, 65.20, new
37730, 1234, Longyar 38, LY38 > Cylinder packing kit, 1, 57.95, new
38496, 1234, Longyar 38, LY38 > #80 Flex Element, 0, 793.20, new
39633, 1234, Longyar 38, LY38 > Jam Nut, 8, 5.10, new
39647, 1234, Longyar 38, LY38 > Spacer W/L drum, 2, 35.50, new
39648, 1234, Longyar 38, LY38 > Spacer, 3, 99.05, new
39650, 1234, Longyar 38, LY38 > W/L comp spring, 1, 88.40, new
39651, 1234, Longyar 38, LY38 > Bearing, 5, 28.45, new
40466, 1234, Longyar 38, LY38 > Bevel Gear, 2, 837.60, new
40506, 1234, Longyar 38, LY38 > Chuck hood rings, 3, 14.80, new
44507, 1234, Longyar 38, LY38 > Nut jam 7/8-9, 0, 3.35, new
44545, 1234, Longyar 38, LY38 > Bolt, 1, 3.10, new
44591, 1234, Longyar 38, LY38 > 1X8 castle, 4, 10.00, new
44594, 1234, Longyar 38, LY38 > Rivets 3/16x5/8 brakeband, 36, 2.40, new
44766, 1234, Longyar 38, LY38 > Retainer Ext hub gear, 0, 2.40, new
44952, 1234, Longyar 38, LY38 > 5/8 X 24 unf, 0, 0.50, new
48925, 1234, Longyar 38, LY38 > Rivets 3/16 x 7/16, 0, 0.00, new
51507, 1234, Longyar 38, LY38 > Seal ring, 1, 61.70, new
51508, 1234, Longyar 38, LY38 > Seal ring segmented, 2, 89.25, new
52013, 1234, Longyar 38, LY38 > Clutch band assembly, 0, 754.90, new
52014, 1234, Longyar 38, LY38 > Lining brade sets, 0, 181.44, new
52016, 1234, Longyar 38, LY38 > Lining brake sets, 2, 264.60, new
52021, 1234, Longyar 38, LY38 > Brake band assembly, 0, 843.45, new
61431, 1234, Longyar 38, LY38 > Spring compression, 16, 39.75, new
